ShortHand,EN,ES,AF,AR,FR,RU,PT,ID,ZH,DE,JA,HI,NL
setAsStartupApp,Set as startup app,Establecer como aplicación de inicio,Stel as opstart -app,تعيين كتطبيق بدء التشغيل,Définir l'application de démarrage,Установить как приложение для стартапа,Defina como aplicativo de inicialização,Setel sebagai aplikasi startup,设置为启动应用程序,Setzen Sie als Start -App,起動アプリとして設定します,स्टार्टअप ऐप के रूप में सेट करें,Stel in als opstart -app
removeFromStartupApps,Remove from startup apps,Eliminar de las aplicaciones de inicio,Verwyder van opstartprogramme,إزالة من تطبيقات بدء التشغيل,Supprimer des applications de démarrage,Удалить из приложений запускания,Remova dos aplicativos de inicialização,Hapus dari aplikasi startup,从启动应用程序中删除,Entfernen Sie aus Start -Apps,起動アプリから削除します,स्टार्टअप ऐप्स से निकालें,Verwijderen uit opstart -apps
devices,Devices,Dispositivos,Toestelle,الأجهزة,Dispositifs,Устройства,Dispositivos,Perangkat,设备,Geräte,デバイス,उपकरण,Apparaat
deviceType,Device Type:,Tipo de dispositivo:,Toesteltipe:,نوع الجهاز:,Type d'appareil:,Тип устройства:,Tipo de dispositivo:,Tipe perangkat:,设备类型：,Gerätetyp:,デバイスタイプ：,उपकरण का प्रकार:,Soort apparaat:
viGEmNotInstalled1,Could not find ViGEm Bus Driver Installed on this computer,No pudo encontrar el controlador de bus de vigem instalado en esta computadora,Kon Vigem -busbestuurder nie op hierdie rekenaar geïnstalleer hê nie,لا يمكن العثور على برنامج تشغيل ناقل Vigem مثبت على هذا الكمبيوتر,Impossible de trouver le pilote de bus VIGEM installé sur cet ordinateur,"Не удалось найти на этом компьютере, установленном водителем шины Vigem",Não foi possível encontrar o driver de ônibus Vigem instalado neste computador,Tidak dapat menemukan driver bus vigem diinstal di komputer ini,找不到这台计算机上安装的维格姆公共汽车司机,"Es konnte nicht finden, dass Vigem Busfahrer auf diesem Computer installiert wurde",このコンピューターにインストールされているVigemバスのドライバーが見つかりませんでした,इस कंप्यूटर पर स्थापित विजेम बस ड्राइवर नहीं मिला,Kon geen vigem buschauffeur op deze computer geïnstalleerd zijn
viGEmNotInstalled2,Please download the latest release from: https://github.com/ViGEm/ViGEmBus/releases,Descargue la última versión de: https://github.com/vigem/vigembus/releases,Laai asseblief die nuutste weergawe van: https://github.com/vigem/vigembus/releases af,يرجى تنزيل أحدث إصدار من: https://github.com/vigem/vigembus/releases,Veuillez télécharger la dernière version de: https://github.com/vigem/vigembus/releases,"Пожалуйста, загрузите последний выпуск от: https://github.com/vigem/vigembus/releases",Faça o download do último lançamento de: https://github.com/vigem/vigembus/releases,Silakan unduh rilis terbaru dari: https://github.com/vigem/vigembus/releases,请从以下内容下载最新版本：https：//github.com/vigem/vigembus/releases,Bitte laden Sie die neueste Version von: https://github.com/vigem/vigembus/release herunter,https://github.com/vigem/vigembus/releasesから最新リリースをダウンロードしてください,कृपया नवीनतम रिलीज़ डाउनलोड करें: https://github.com/vigem/vigembus/releases,Download de nieuwste release van: https://github.com/vigem/vigembus/releases
serialNumber,Serial Number:,Número de serie:,Reeksnommer:,رقم سري:,Numéro de série:,Серийный номер:,Número de série:,Nomor seri:,序列号：,Seriennummer:,シリアルナンバー：,क्रमिक संख्या:,Serienummer:
gameAssoc,Game Association:,Asociación de juegos:,Speletjievereniging:,جمعية اللعبة:,Association de jeu:,Игровая ассоциация:,Associação de Jogos:,Asosiasi Game:,游戏协会：,Game Association:,ゲーム協会：,खेल एसोसिएशन:,Game Association:
configs,Configurations,Configuraciones,Konfigurasies,التكوينات,Configurations,Конфигурации,Configurações,Konfigurasi,配置,Konfigurationen,構成,विन्यास,Configuraties
configName,Configuration Name,Nombre de configuración,Konfigurasie naam,اسم التكوين,Nom de configuration,Название конфигурации,Nome da configuração,Nama Konfigurasi,配置名称,Konfigurationsname,構成名,विन्यास नाम,Configuratienaam
defaultConfig,Default Config,Configuración predeterminada,Standaardkonfig,التكوين الافتراضي,Configuration par défaut,Конфигурация по умолчанию,Config padrão,Konfigurasi default,默认配置,Standardkonfiguration,デフォルトの構成,डिफ़ॉल्ट विन्यास,Standaard configuratie
default,Default  ,Por defecto,Versuim,تقصير,Défaut,По умолчанию,Padrão,Bawaan,默认,Standard,デフォルト,गलती करना,Standaard
makeDefault,Make Default,Hacer por defecto,Maak dit die terugval-opsie,جعل الافتراضي,Faire défaut,Использовать по умолчанию,Tornar padrão,Membuat default,使默认,Machen Standard,デフォルトにします,डिफ़ॉल्ट बनाना,Standaard maken
load,Load,Carga,Vrag,حمولة,Charger,Нагрузка,Carregar,Memuat,加载,Belastung,ロード,भार,Laden
save,Save,Ahorrar,Red,يحفظ,Sauvegarder,Сохранять,Salvar,Menyimpan,节省,Speichern,保存,बचाना,Redden
configSettings,Configuration Settings,Ajustes de configuración,Konfigurasie -instellings,إعدادات التكوين,Paramètres de configuration,Настройки конфигурации,Definições de configuração,Pengaturan konfigurasi,配置设置,Konfigurationseinstellungen,構成設定,कॉन्फ़िगरेशन सेटिंग्स,Configuratie-instellingen
editBindings,Edit Bindings...,Editar enlaces ...,Bindings wysig ...,تحرير الارتباطات ...,Modifier les liaisons ...,Редактировать привязки ...,Editar ligações ...,Edit binding ...,编辑绑定...,Bindungen bearbeiten ...,バインディングを編集...,बाइंडिंग संपादित करें ...,Bindingen bewerken ...
buttonBindings,Button Bindings,Botones ANIZACIONES,Knoppie bindings,ربط زر,Reliures aux boutones,Кнопки привязки,Ligações de botões,Binding tombol,按钮绑定,Knopfbindungen,ボタンバインディング,बटन बाइंडिंग,Knopbindingen
joystickBindings,Joystick Bindings,Bindoces de joystick,Joystick -bindings,ارتباطات عصا التحكم,Reliures au joystick,Джажонстик привязки,Ligas de joystick,Binding Joystick,操纵杆绑定,Joystick -Bindungen,ジョイスティックバインディング,जॉयस्टिक बाइंडिंग,Joystick -bindingen
selectionHelp,Double-Click a Binding to Start,Haga doble clic en un enlace para comenzar,Dubbelklik op 'n binding om te begin,انقر نقرًا مزدوجًا فوق الربط للبدء,Double-cliquez sur une reliure pour commencer,"Дважды щелкните привязку, чтобы начать",Clique duas vezes em uma ligação para começar,Klik dua kali ikatan untuk memulai,双击绑定以开始,"Doppelklicken Sie auf eine Bindung, um zu starten",バインディングをダブルクリックして開始します,शुरू करने के लिए एक बंधन पर डबल-क्लिक करें,Dubbelklik op een binding om te starten
inputButton,Input Button,Botón de entrada,Insetknoppie,زر الإدخال,Bouton d'entrée,Кнопка ввода,Botão de entrada,Tombol input,输入按钮,Eingabetaste,入力ボタン,इनपुट बटन,Invoerknop
outputButton,Output Button,Botón de salida,Uitvoerknoppie,زر الإخراج,Bouton de sortie,Кнопка вывода,Botão de saída,Tombol output,输出按钮,Ausgangstaste,出力ボタン,आउटपुट बटन,Uitvoerknop
inputJoystick,Input Joystick,Joystick de entrada,Inset Joystick,إدخال عصا التحكم,Joystick d'entrée,Введите джойстик,Entrada Joystick,Masukkan joystick,输入操纵杆,Geben Joystick ein,入力ジョイスティック,इनपुट जॉयस्टिक,Voer joystick in
outputJoystick,Output Joystick,Joystick de salida,Uitset Joystick,عصا التحكم في الإخراج,Joystick de sortie,Вывод джойстик,Saída Joystick,Keluaran joystick,输出操纵杆,Ausgabe Joystick,出力ジョイスティック,आउटपुट जॉयस्टिक,Output joystick
configEditor,Configuration Editor,Editor de configuración,Konfigurasie -redakteur,محرر التكوين,Éditeur de configuration,Редактор конфигурации,Editor de configuração,Editor Konfigurasi,配置编辑器,Konfigurationseditor,構成エディター,विन्यास संपादक,Configuratie -editor
rotate ,Input Joystick Rotation (Clockwise),Rotación de joystick de entrada (en sentido horario),Inset Joystick Rotation (kloksgewys),إدخال عصا التحكم الدوران (في اتجاه عقارب الساعة),Rotation du joystick d'entrée (dans le sens horaire),Ввод вращения джойстика (по часовой стрелке),Rota de joystick de entrada (no sentido horário),Masukkan rotasi joystick (searah jarum jam),输入操纵杆旋转（顺时针）,Eingabe der Joystick -Rotation (im Uhrzeigersinn),入力ジョイスティック回転（時計回り）,इनपुट जॉयस्टिक रोटेशन (दक्षिणावर्त),Voer joystick rotatie in (met de klok mee)
deadzone,Deadzone,Zona muerta,Deadzone,منطقة شديدة الخطورة,Zone morte,Мертвая зона,Zona morta,Deadzone,盲区,Todeszone,デッドゾーン,मृत क्षेत्र,Dode zone
linear,Linear,Lineal,Lineêr,خطي,Linéaire,Линейный,Linear,Linear,线性,Linear,線形,रेखीय,Lineair
snapMode,76° Snap Mode,Modo SNAP de 76 °,76 ° Snap -modus,وضع 76 ° SNAP,Mode SNAP 76 °,76 ° режим Snap,76 ° Modo Snap,Mode Snap 76 °,76°快照模式,76 ° Snap -Modus,76°スナップモード,76 ° स्नैप मोड,76 ° SNAP -modus
snapIntensity,Snap76 Intensity,Intensidad SNAP76,Snap76 intensiteit,Snap76 شدة,Intensité Snap76,SNAP76 Интенсивность,Intensidade do Snap76,Intensitas snap76,SNAP76强度,Snap76 Intensität,SNAP76強度,स्नैप 76 तीव्रता,Snap76 -intensiteit
extremeTight,Extremely Tight (20°),Extremadamente apretado (20 °),Uiters styf (20 °),ضيق للغاية (20 درجة),Extrêmement serré (20 °),Очень плотно (20 °),Extremamente apertado (20 °),Sangat ketat (20 °),非常紧（20°）,Extrem eng (20 °),非常にタイト（20°）,बेहद तंग (20 °),Extreem strak (20 °)
tight,Tight (30°),Apretado (30 °),Styf (30 °),ضيق (30 درجة),Serré (30 °),Плотно (30 °),Apertado (30 °),Ketat (30 °),紧（30°）,Eng (30 °),タイト（30°）,तंग (30 °),Strak (30 °)
medium,Medium (40°),Medio (40 °),Medium (40 °),متوسط ​​(40 درجة),Moyen (40 °),Средний (40 °),Médio (40 °),Sedang (40 °),培养基（40°）,Medium (40 °),中（40°）,मध्यम (40 °),Medium (40 °)
loose,Loose (50°),Suelto (50 °),Los (50 °),فضفاض (50 درجة),Lâche (50 °),Свободный (50 °),Solto (50 °),Longgar (50 °),松动（50°）,Locker (50 °),ルーズ（50°）,ढीला (50 °),Los (50 °)
veryLoose,Very Loose (60°),Muy suelto (60 °),Baie los (60 °),فضفاض جدا (60 درجة),Très lâche (60 °),Очень свободный (60 °),Muito solto (60 °),Sangat longgar (60 °),非常松散（60°）,Sehr locker (60 °),非常にゆるい（60°）,बहुत ढीला (60 °),Erg los (60 °)
reset,Reset,Reiniciar,Herstel,إعادة ضبط,Réinitialiser,Перезагрузить,Reiniciar,Mengatur ulang,重置,Zurücksetzen,リセット,रीसेट,Resetten
snap,Snap ,Quebrar,Klap,فرقعة,Instantané,Щелчок,Foto,Patah,折断,Schnappnahme,スナップ,चटकाना,Hapje
inputAxis,Input Axis,Eje de entrada,Insette,محور الإدخال,Axe d'entrée,Входная ось,Eixo de entrada,Sumbu input,输入轴,Eingangsachse,入力軸,इनपुट अक्ष,Invoeras
outputAxis,Output Axis,Eje de salida,Uitset -as,محور الإخراج,Axe de sortie,Выходная ось,Eixo de saída,Sumbu output,输出轴,Ausgangsachse,出力軸,आउटपुट अक्ष,Outputas
inputTrigger,Input Trigger,Disparador de entrada,Inset -sneller,مشغل الإدخال,Déclencheur d'entrée,Входной триггер,Gatilho de entrada,Pemicu input,输入触发器,Eingabeauslöser,入力トリガー,इनपुट ट्रिगर,Input -trigger
outputTrigger,Output Trigger,Disparador de salida,Uitset -sneller,الزناد الإخراج,Déclencheur de sortie,Выходной триггер,Gatilho de saída,Pemicu output,输出触发器,Ausgabeauslöser,出力トリガー,आउटपुट ट्रिगर,Outputtrigger
outputKeys,Output Keys,Claves de salida,Uitvoersleutels,مفاتيح الإخراج,Touches de sortie,Выходные ключи,Teclas de saída,Kunci output,输出键,Ausgabeschlüssel,出力キー,आउटपुट कीज़,Uitvoersleutels
off,Off,Apagado,Af,عن,Désactivé,Выключенный,Desligado,Mati,离开,Aus,オフ,बंद,Uit
addBinding,Add Binding,Agregar encuadernación,Voeg binding by,أضف الربط,Ajouter une reliure,Добавить привязку,Adicione a ligação,Tambahkan Ikatan,添加绑定,Bindung hinzufügen,バインディングを追加します,बाइंडिंग जोड़ें,Voeg binding toe
removeBinding,Remove Binding,Eliminar la unión,Verwyder binding,إزالة الربط,Supprimer la reliure,Удалить привязку,Remova a ligação,Hapus Ikatan,删除绑定,Bindung entfernen,バインディングを削除します,बंधन को हटा दें,Verwijder de binding
button,Button ,Botón,Knoop,زر,Bouton,Кнопка,Botão,Tombol,按钮,Taste,ボタン,बटन,Knop
joystick ,Joystick  ,Palanca de mando,Joystick,عصا التحكم,Manette,Джойстик,Controle de video game,Joystick,操纵杆,Joystick,ジョイスティック,जोस्टिक,Joystick
trigger,Trigger ,Desencadenar,Sneller,مشغل,Déclencher,Курок,Acionar,Pemicu,扳机,Abzug,引き金,चालू कर देना,Trekker
buttonAsButton,Button As Button,Botón como botón,Knoppie as knoppie,زر كزر,Bouton comme bouton,Кнопка как кнопка,Botão como botão,Tombol sebagai tombol,按钮作为按钮,Taste als Schaltfläche,ボタンとしてボタン,बटन के रूप में बटन,Knop als knop
buttonAsJoystick,Button As Joystick,Botón como joystick,Knoppie as joystick,زر كما عصا,Bouton comme joystick,Кнопка как джойстик,Botão como joystick,Tombol sebagai joystick,按钮作为操纵杆,Knopf als Joystick,ジョイスティックとしてのボタン,जॉयस्टिक के रूप में बटन,Knop als joystick
buttonAsTrigger,Button As Trigger,Botón como disparador,Knoppie as sneller,زر كما الزناد,Bouton comme déclencheur,Кнопка как триггер,Botão como gatilho,Tombol sebagai pemicu,按钮作为触发器,Taste als Auslöser,トリガーとしてボタン,ट्रिगर के रूप में बटन,Knop als trigger
buttonAsKeyboard,Button As Keyboard,Botón como teclado,Knoppie as sleutelbord,زر كوحة المفاتيح,Bouton comme clavier,Кнопка как клавиатура,Botão como teclado,Tombol sebagai keyboard,按钮作为键盘,Taste als Tastatur,キーボードとしてのボタン,कीबोर्ड के रूप में बटन,Knop als toetsenbord
joystickAsButton,Joystick As Button,Joystick como botón,Joystick as knoppie,عصا التحكم كزر,Joystick comme bouton,Джойстик как кнопка,Joystick como botão,Joystick sebagai tombol,操纵杆作为按钮,Joystick als Knopf,ボタンとしてのジョイスティック,बटन के रूप में जॉयस्टिक,Joystick als knop
joystickAsJoystick,Joystick As Joystick,Joystick como joystick,Joystick as joystick,عصا التحكم كما عصا التحكم,Joystick comme joystick,Джойстик как джойстик,Joystick como joystick,Joystick sebagai joystick,操纵杆作为操纵杆,Joystick als Joystick,ジョイスティックとしてのジョイスティック,जॉयस्टिक के रूप में जॉयस्टिक,Joystick als joystick
joystickAsTrigger,Joystick As Trigger,Joystick como gatillo,Joystick as sneller,عصا التحكم كما الزناد,Joystick comme déclencheur,Джойстик как триггер,Joystick como gatilho,Joystick sebagai pemicu,操纵杆作为扳机,Joystick als Auslöser,トリガーとしてのジョイスティック,ट्रिगर के रूप में जॉयस्टिक,Joystick als trigger
joystickAsKeyboard,Joystick As Keyboard,Joystick como teclado,Joystick as sleutelbord,عصا التحكم كما لوحة المفاتيح,Joystick comme clavier,Джойстик как клавиатура,Joystick como teclado,Joystick sebagai keyboard,操纵杆作为键盘,Joystick als Tastatur,キーボードとしてのジョイスティック,कीबोर्ड के रूप में जॉयस्टिक,Joystick als toetsenbord
triggerAsButton,Trigger As Button,Disparador como botón,Sneller as knoppie,الزناد كزر,Déclencher comme bouton,Триггер как кнопка,Gatilho como botão,Pemicu sebagai tombol,触发为按钮,Trigger als Taste,ボタンとしてトリガーします,बटन के रूप में ट्रिगर,Trigger als knop
triggerAsJoystick,Trigger As Joystick,Desencadenante como joystick,Sneller as joystick,الزناد كما عصا التحكم,Déclencher comme joystick,Триггер как джойстик,Gatilho como joystick,Pemicu sebagai joystick,扳机作为操纵杆,Trigger als Joystick,ジョイスティックとしてトリガー,जॉयस्टिक के रूप में ट्रिगर,Trigger als joystick
triggerAsTrigger,Trigger As Trigger,Disparador como disparador,Sneller as sneller,الزناد كما الزناد,Trigger comme déclencheur,Триггер как триггер,Gatilho como gatilho,Pemicu sebagai pemicu,触发作为触发器,Auslöser als Auslöser,トリガーとしてトリガー,ट्रिगर के रूप में ट्रिगर,Trigger als trigger
triggerAsKeyboard,Trigger As Keyboard,Disparador como teclado,Sneller as sleutelbord,الزناد كما لوحة المفاتيح,Déclencher comme clavier,Триггер как клавиатура,Gatilho como teclado,Pemicu sebagai keyboard,触发作为键盘,Trigger als Tastatur,キーボードとしてトリガー,कीबोर्ड के रूप में ट्रिगर,Trigger als toetsenbord
setActive,Set Active,Establecer activo,Stel aktief,تفعيل النشاط,Définir actif,Установить активное,Ativar,Atur aktif,设置活动,Aktivieren,アクティブに設定します,सक्रिय नियत करें,Activeren
addConfig,Add Configuration,Agregar configuración,Voeg konfigurasie by,إضافة التكوين,Ajouter une configuration,Добавить конфигурацию,Adicione a configuração,Tambahkan Konfigurasi,添加配置,Konfiguration hinzufügen,構成を追加します,कॉन्फ़िगरेशन जोड़ें,Configuratie toevoegen
renameConfig,Rename,Rebautizar,Hernoem,إعادة تسمية,Renommer,Переименовать,Renomear,Ganti nama,改名,Umbenennen,名前を変更します,नाम बदलें,Hernoeming
removeConfig,Remove,Eliminar,Verwyder,يزيل,Retirer,Удалять,Remover,Menghapus,消除,Entfernen,削除,निकालना,Verwijderen
makeDefault,Make Default,Hacer por defecto,Maak dit die terugval-opsie,جعل الافتراضي,Faire défaut,Использовать по умолчанию,Tornar padrão,Membuat default,使默认,Machen Standard,デフォルトにします,डिफ़ॉल्ट बनाना,Standaard maken
newConfig,New...,Nuevo...,NUWE ...,جديد...,Nouveau...,Новый...,Novo...,Baru...,新的...,Neu...,新しい...,नया...,Nieuw...
newConfigFromExisting,From Existing...,De existente ...,Van bestaande ...,من القائمة ...,De l'existant ...,Из существующего ...,De existente ...,Dari yang ada ...,从现有...,Von existierenden ...,既存から...,मौजूदा से ...,Van bestaande ...
language,Language,Idioma,Taal,لغة,Langue,Язык,Linguagem,Bahasa,语言,Sprache,言語,भाषा,Taal
overwriteConfig,Do you want to overwrite configuration?,¿Quieres sobrescribir la configuración?,Wil u die konfigurasie oorskryf?,هل تريد الكتابة فوق التكوين؟,Voulez-vous écraser la configuration?,Вы хотите перезаписать конфигурацию?,Deseja substituir a configuração?,Apakah Anda ingin menimpa konfigurasi?,您要覆盖配置吗？,Möchten Sie die Konfiguration überschreiben?,構成を上書きしますか？,क्या आप कॉन्फ़िगरेशन को अधिलेखित करना चाहते हैं?,Wilt u de configuratie overschrijven?
overwrite,Overwrite?,¿Sobrescribir?,Oorskryf?,الكتابة فوق؟,Écraser?,Перезаписать?,Substituir?,Timpa?,覆盖？,Überschreiben?,上書きしますか？,अधिलेखित?,Overschrijven?
yes,Yes,Sí,Ja,نعم,Oui,Да,Sim,Ya,是的,Ja,はい,हाँ,Ja
no,No,No,Geen,لا,Non,Нет,Não,TIDAK,不,NEIN,いいえ,नहीं,Nee
ok,OK,DE ACUERDO,Ok,نعم,D'ACCORD,ХОРОШО,OK,OKE,好的,OK,OK,ठीक,OK
cancel,Cancel,Cancelar,Kanselleer,يلغي,Annuler,Отмена,Cancelar,Membatalkan,取消,Stornieren,キャンセル,रद्द करना,Annuleren
deleteConfig,Delete this configuration from hard drive?,Eliminar esta configuración del disco duro?,Verwyder hierdie konfigurasie van die hardeskyf?,حذف هذا التكوين من القرص الصلب؟,Supprimer cette configuration du disque dur?,Удалить эту конфигурацию с жесткого диска?,Excluir esta configuração do disco rígido?,Hapus konfigurasi ini dari hard drive?,从硬盘驱动器中删除此配置？,Diese Konfiguration aus der Festplatte löschen?,ハードドライブからこの構成を削除しますか？,हार्ड ड्राइव से इस कॉन्फ़िगरेशन को हटा दें?,Deze configuratie verwijderen uit de harde schijf?
delete,Delete,Borrar,Verwyder,يمسح,Supprimer,Удалить,Excluir,Menghapus,删除,Löschen,消去,मिटाना,Verwijderen
gameAssocTooltip,"Enter a basic application name to auto-switch to this configuration whenever the application is active. (e.g. ""Fortnite"" or ""Rocket League"")","Ingrese un nombre básico de la aplicación para cambiar automáticamente en esta configuración siempre que la aplicación esté activa. (por ejemplo, ""Fortnite"" o ""Rocket League"")","Voer 'n basiese toepassingsnaam in om outomaties te skakel na hierdie konfigurasie wanneer die toepassing aktief is. (bv. ""Fortnite"" of ""Rocket League"")","أدخل اسم التطبيق الأساسي إلى التبديل التلقائي لهذا التكوين كلما كان التطبيق نشطًا. (على سبيل المثال ""Fortnite"" أو ""Rocket League"")","Entrez un nom d'application de base pour interruption automatique à cette configuration chaque fois que l'application est active. (par exemple ""Fortnite"" ou ""Rocket League"")","Введите базовое имя приложения в автоматическое переключение в эту конфигурацию всякий раз, когда приложение активно. (например, ""Fortnite"" или ""ракетная лига"")","Digite um nome de aplicativo básico para compensar automaticamente esta configuração sempre que o aplicativo estiver ativo. (por exemplo, ""Fortnite"" ou ""Rocket League"")","Masukkan nama aplikasi dasar untuk beralih secara otomatis ke konfigurasi ini setiap kali aplikasi aktif. (mis. ""Fortnite"" atau ""Rocket League"")",每当应用程序处于活动状态时，输入自动开关的基本应用程序名称。 （例如“ Fortnite”或“火箭联盟”）,"Geben Sie einen grundlegenden Anwendungsnamen ein, um diese Konfiguration automatisch zu schalten, wenn die Anwendung aktiv ist. (z. B. ""Fortnite"" oder ""Rocket League"")",基本的なアプリケーション名を入力して、アプリケーションがアクティブになったときはいつでもこの構成に自動スイッチを設定します。 （例：「Fortnite」または「Rocket League」）,"जब भी एप्लिकेशन सक्रिय होता है, तो इस कॉन्फ़िगरेशन में ऑटो-स्विच के लिए एक बुनियादी एप्लिकेशन नाम दर्ज करें। (जैसे ""फोर्टनाइट"" या ""रॉकेट लीग"")","Voer een basistoepassingsnaam in om automatisch te schakelen naar deze configuratie wanneer de toepassing actief is. (bijv. ""Fortnite"" of ""Rocket League"")"
resumeDriver,Resume Driver,Currículum vitae,Hervat bestuurder,استئناف السائق,CV CHEPING,Резюме водителя,Retomar o driver,Resume Driver,简历驱动程序,Lebenslauf Fahrer,履歴書ドライバー,ड्राइवर को फिर से शुरू करें,Hervatten bestuurder
pauseDriver,Pause Driver,Controlador de pausa,Pouse drywer,سائق توقف مؤقت,Paute de pause,Пауза драйвер,Pausa driver,Pause Driver,暂停驱动程序,Pause Fahrer,ドライバーを一時停止します,रोकें चालक,Pauzeer bestuurder
defaultLoaded2,Loading the default configuration instead.,Cargando la configuración predeterminada en su lugar.,Laai eerder die standaardkonfigurasie.,تحميل التكوين الافتراضي بدلاً من ذلك.,Chargement de la configuration par défaut à la place.,Загрузка конфигурации по умолчанию вместо этого.,Carregando a configuração padrão.,Memuat konfigurasi default sebagai gantinya.,改为加载默认配置。,Laden Sie stattdessen die Standardkonfiguration.,代わりにデフォルトの構成をロードします。,इसके बजाय डिफ़ॉल्ट कॉन्फ़िगरेशन लोड करना।,In plaats daarvan de standaardconfiguratie laden.
